NSEPY,NSE_TOOLS,MONEY_CONTROL
NIFTY 50 Pre Open,NIFTY 50 Pre Open,0
NIFTY,NIFTY 50,9
NIFTY NEXT 50,NIFTY NEXT 50,0
NIFTY100 LIQ 15,NIFTY100 LIQ 15,0
BANKNIFTY,NIFTY BANK,23
INDIA VIX,INDIA VIX,0
NIFTY 100,NIFTY 100,0
NIFTY 500,NIFTY 500,0
NIFTY MIDCAP 100,NIFTY MIDCAP 100,0
NIFTY MIDCAP 50,NIFTY MIDCAP 50,0
NIFTY INFRA,NIFTY INFRA,0
NIFTY REALTY,NIFTY REALTY,0
NIFTY ENERGY,NIFTY ENERGY,0
NIFTY FMCG,NIFTY FMCG,0
NIFTY MNC,NIFTY MNC,0
NIFTY PHARMA,NIFTY PHARMA,0
NIFTY PSE,NIFTY PSE,0
NIFTY PSU BANK,NIFTY PSU BANK,0
NIFTY SERV SECTOR,NIFTY SERV SECTOR,0
NIFTY IT,NIFTY IT,0
NIFTY SMLCAP 100,NIFTY SMLCAP 100,0
NIFTY 200,NIFTY 200,0
NIFTY AUTO,NIFTY AUTO,0
NIFTY MEDIA,NIFTY MEDIA,0
NIFTY METAL,NIFTY METAL,0
NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0
NIFTY COMMODITIES,NIFTY COMMODITIES,0
NIFTY CONSUMPTION,NIFTY CONSUMPTION,0
NIFTY CPSE,NIFTY CPSE,0
NIFTY FIN SERVICE,NIFTY FIN SERVICE,0
NIFTY GROWSECT 15,NIFTY GROWSECT 15,0
NIFTY50 VALUE 20,NIFTY50 VALUE 20,0
NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0
NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0
NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0
NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0
NIFTY ALPHA 50,NIFTY ALPHA 50,0
NIFTY50 EQL WGT,NIFTY50 EQL WGT,0
NIFTY100 EQL WGT,NIFTY100 EQL WGT,0
NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0
NIFTY MID LIQ 15,NIFTY MID LIQ 15,0
NIFTY PVT BANK,NIFTY PVT BANK,0
NIFTY100 QUALTY30,NIFTY100 QUALTY30,0
NIFTY GS 8 13YR,NIFTY GS 8 13YR,0
NIFTY GS 10YR,NIFTY GS 10YR,0
NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0
NIFTY GS 4 8YR,NIFTY GS 4 8YR,0
NIFTY GS 11 15YR,NIFTY GS 11 15YR,0
NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0
NIFTY GS COMPSITE,NIFTY GS COMPSITE,0
